,brand,model,model_year,milage,fuel_type,engine,transmission,accident,price
3101,GMC,Acadia SLE-2,2016,100795,0,3.6L V6 24V GDI DOHC,6-Speed Automatic,1,12995
3102,Chevrolet,Impala 1LT,2019,99941,0,3.6L V6 24V GDI DOHC,6-Speed Automatic,0,17816
3103,Jeep,Grand Cherokee L Laredo,2021,23588,0,3.6L V6 24V MPFI DOHC,8-Speed Automatic,0,38633
3104,Jeep,Liberty Sport,2003,103000,0,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,0,5200
3105,Jaguar,XF Luxury,2009,91491,0,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,7000
3106,Honda,Civic Sport,2020,23131,0,2.0L I4 16V MPFI DOHC,Automatic CVT,1,23739
3107,Subaru,Outback 2.5i Premium,2019,77000,0,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,1,18749
3108,Land,Rover Range Rover Sport HSE Dynamic,2019,20500,0,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,76000
3110,Lexus,ES 350 Base,2019,49810,0,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,33900
3111,Honda,CR-V Touring,2022,20229,0,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,0,36727
3112,Alfa,Romeo Giulia Quadrifoglio,2021,10558,0,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,75000
3113,BMW,330 i,2005,59300,0,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,0,30900
3114,Maybach,Type 57 Base,2004,34254,0,543.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,64250
3115,Lexus,ES 250 Base,2021,24364,0,2.5 Liter,Automatic,0,37998
3116,Mercedes-Benz,Sprinter 2500,2016,139200,1,161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,A/T,1,22000
3117,Mercedes-Benz,E-Class E 350,2012,82046,0,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,13999
3118,Dodge,Dakota Sport,1997,285000,0,230.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,6399
3119,RAM,1500 Tradesman/Express,2017,26269,3,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,1,25307
3120,Mazda,CX-9 Touring,2016,127131,0,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,1,16770
3122,BMW,X3 xDrive30i,2021,27000,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,38400
3123,Jeep,Grand Cherokee Limited,2015,93400,3,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,0,18900
3124,BMW,X7 xDrive40i,2021,9200,2,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,1,71200
3125,Mercedes-Benz,SL-Class SL 550,2014,76850,0,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,32999
3127,Jeep,Wrangler Unlimited,2005,146000,0,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,1,15900
3129,Volkswagen,Golf SportWagen TSI SE,2017,33850,0,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,16500
3130,Jeep,Wrangler Unlimited Sahara,2020,61830,0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,1,39860
3131,Kia,Sorento SXL,2017,108559,0,3.3L V6 24V GDI DOHC,6-Speed Automatic,0,15998
3132,Lexus,LS 430 Base,2006,192000,0,278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,7390
3133,Mercedes-Benz,E-Class E 350 4MATIC,2014,83112,0,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,15500
3135,RAM,1500 Rebel,2020,57300,0,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,43500
3136,MINI,Cooper Base,2008,104500,0,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,4100
3137,Jeep,Cherokee Sport,1996,170552,0,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,1,6500
3138,Ford,Mustang GT Premium,2013,18000,0,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,29000
3139,Lincoln,Navigator Reserve,2019,39000,0,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,51999
3140,Jeep,Gladiator Rubicon,2020,38000,0,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,45000
3142,Honda,Civic EX,2012,167506,0,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,0,6500
3143,Jeep,Grand Cherokee Laredo,2012,166000,3,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,1,13000
3144,Ford,Shelby GT500 Base,2021,19200,0,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,82950
3145,Land,Rover Defender SE,2022,46000,2,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,0,75000
3146,Hummer,H3 Base,2007,201000,0,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,1,7200
3147,Kia,Sportage LX,2014,87000,0,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,1,8900
3148,GMC,Yukon XL 1500 SLT,2015,145000,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,24950
3149,Jeep,Wrangler Unlimited Sport,2020,33060,0,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,36500
3152,Audi,A6 3.0T Prestige,2014,89500,0,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,18000
3153,Jeep,Wrangler 80th Anniversary,2021,27000,2,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,0,37500
3154,Jeep,Wrangler Sport,2010,87250,0,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,18500
3155,Volkswagen,CC 2.0T Sport,2016,76495,0,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,1,13000
3156,Cadillac,SRX Luxury Collection,2016,70503,0,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,15500
3157,Porsche,Cayenne Turbo,2009,41965,0,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,35000
3158,Toyota,4Runner 4WD,1999,267000,0,150.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,1,8000
3159,Mitsubishi,Eclipse GT,2003,146000,0,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,1,4200
3160,Chevrolet,Corvette Stingray w/1LT,2023,9000,0,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,82500
3161,Toyota,GR86 Premium,2022,1050,0,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,40000
3162,Land,Rover Range Rover P525 Westminster,2021,22270,0,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,0,89900
3163,Ford,Mustang GT Premium,2012,19900,0,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,26500
3165,RAM,1500 Sport,2012,113500,0,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,0,17900
3167,INFINITI,Q60 3.0t Red Sport 400,2022,3300,0,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,54000
3170,BMW,M5 Base,2015,27000,0,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,52500
3171,Kia,K5 GT-Line,2022,22101,0,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,1,29430
3172,Chevrolet,Caprice Classic Base,1996,60000,0,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,0,18500
3173,Subaru,BRZ Limited,2013,46452,0,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,22888
3174,Lincoln,MKZ Reserve I,2019,36000,0,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,26500
3175,Chevrolet,Corvette Grand Sport,2019,13100,0,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,0,61950
3176,Audi,Q5 2.0T Premium Plus,2019,50000,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,27000
3177,Mazda,CX-9 Signature,2018,19500,0,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32250
3178,Ford,Mustang GT,2016,36000,0,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,31000
3180,Chevrolet,Camaro 1SS,2022,6640,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,0,51999
3181,BMW,X5 xDrive35i,2016,74850,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,1,21900
3182,Nissan,Maxima SV,2014,117000,0,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,10900
3183,Toyota,Tundra TRD Pro,2016,51400,3,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,39900
3184,INFINITI,QX60 AUTOGRAPH,2022,6000,0,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,57999
3185,Mitsubishi,Lancer Evolution MR,2006,128000,0,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,37999
3186,BMW,X3 xDrive30i,2021,15000,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,39995
3187,Toyota,Tundra SR5,2016,119000,0,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,29950
3188,Lincoln,Mark LT Base,2006,87500,0,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,1,12999
3189,Ford,Flex SEL,2011,149000,0,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,7999
3190,Audi,Q5 2.0T Premium Plus,2015,54700,3,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,8-Speed A/T,1,20995
3191,Ford,F-150 XL,2021,45979,0,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,0,38532
3192,Lincoln,Continental Reserve,2017,56846,0,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,29000
3194,Jeep,Grand Cherokee Limited,2017,80150,0,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,22500
3195,GMC,Terrain SLT-1,2013,11563,0,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,1,12300
3197,Mercedes-Benz,AMG E 53 Base 4MATIC,2021,15615,2,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,0,78000
3198,Subaru,Impreza WRX Base,2013,113000,0,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,1,16000
3199,Kia,Optima S,2018,74000,0,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,15000
3200,Mercedes-Benz,M-Class ML 350,2011,99200,0,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,11900
3201,Volkswagen,Beetle 2.0T S,2018,36824,0,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,23999
3202,Acura,RSX Base,2005,186040,0,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,1,6700
3203,GMC,Acadia SLE,2020,58000,0,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,27700
3204,Ford,F-150 Lariat,2020,31250,0,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,0,42500
3205,Jeep,Gladiator Overland,2020,43000,0,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,46500
3206,Toyota,Tacoma TRD Sport,2020,41199,0,3.5 Liter,6 Speed Mt,0,41598
3208,Genesis,GV70 3.5T Sport,2022,12900,0,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,53000
3209,Ford,Explorer ST,2022,10500,0,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,50000
3210,MINI,Countryman Cooper,2020,74725,0,1.5L I3 12V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,0,21612
3211,Mazda,CX-5 Grand Touring,2021,61117,0,2.5L I4 16V GDI DOHC,6-Speed Automatic,0,26485
3212,BMW,325 i,2003,142000,0,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,1,4800
3214,Toyota,Yaris L,2012,129355,0,106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,1,7950
3215,Chevrolet,Express 1500 Base,2010,204000,3,310.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,1,4900
3216,Lincoln,Navigator L Select,2016,115600,0,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,22500
3217,Jeep,Wrangler Sahara Altitude,2023,1563,2,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,0,62500
3218,Bentley,Continental GT Base,2007,72166,0,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,1,35995
3219,Lexus,RX 350 F Sport,2018,26100,0,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,37899
3220,BMW,430 i,2017,58880,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,21000
3222,Honda,Civic EX,2008,190640,0,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,1,5500
3223,Porsche,Cayenne AWD,2020,37500,0,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,59900
3225,Cadillac,ATS 2.5L Luxury,2013,225000,0,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,13600
3226,Lexus,LS 460 Base,2014,123256,0,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,24995
3227,Cadillac,Escalade Premium Luxury,2021,11459,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,88900
3228,Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,67289,0,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,20490
3229,Hyundai,Veloster Base,2013,56837,0,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,10500
3230,Chevrolet,Corvette Base,2002,44168,0,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,30000
3231,Mercedes-Benz,C-Class C 300 4MATIC,2019,59766,0,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,0,26900
3232,Kia,Stinger GT,2018,56300,0,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,0,29950
3233,Volvo,S60 R,2004,167000,0,300.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,8000
3234,Chevrolet,Silverado 2500 LT,2015,122770,3,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,0,27499
3235,Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,59271,0,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,54995
3236,GMC,Sierra 1500 SLE,2015,102000,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,24500
3237,Chevrolet,Silverado 1500 RST,2020,40929,0,5.3L V8 16V GDI OHV,Automatic,1,44800
3239,Chevrolet,Suburban Z71,2022,19200,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,69790
3242,Land,Rover Range Rover Sport HSE,2011,105000,0,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,0,10000
3243,Ford,F-250 Lariat,2016,122650,1,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,0,38900
3244,Subaru,BRZ Limited,2022,14000,0,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,34999
3245,Lexus,LS 460 Base,2008,100868,0,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,15397
3246,Land,Rover Range Rover Sport HSE,2013,111000,0,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,15000
3247,Cadillac,Escalade Sport Platinum,2021,38500,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,1,94995
3248,Nissan,Pathfinder S,2020,41250,0,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,0,21865
3249,MINI,Cooper S Base,2006,99600,0,168.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,5500
3250,Acura,ILX 2.0L w/Premium Package,2013,198000,0,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,11000
3251,Lexus,RX 350 Base,2021,20598,0,3.5L V6 24V PDI DOHC,8-Speed Automatic,1,42599
3252,Porsche,911 Carrera S,2013,52044,0,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,0,76500
3253,MINI,Hardtop Cooper S,2022,23777,0,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,30000
3254,Ford,F-150 Platinum,2018,60660,0,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,1,46900
3256,Mazda,CX-5 Touring,2018,61000,0,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,21800
3257,Lexus,RX 350 F Sport Performance,2020,53750,0,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,32600
3258,BMW,X5 M50i,2023,13735,0,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,0,77897
3259,Mercedes-Benz,E-Class E 300,2019,32580,0,2.0 Liter Turbo,Automatic,0,33998
3260,Porsche,911 Carrera Cabriolet,2006,96275,0,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,52500
3261,Ford,F-350 Lariat,2015,162000,1,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,0,32000
3262,BMW,X3 xDrive30i,2019,92040,0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,0,24999
3263,RAM,1500 SLT,2017,73690,0,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,27000
3264,Toyota,Tacoma Base,2009,48750,0,159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,M/T,0,17900
3265,Cadillac,SRX Performance Collection,2011,124542,0,265.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,8450
3266,Ford,Mustang GT Premium,2010,69000,0,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,20000
3267,Dodge,Ram 2500 Laramie Quad Cab,2004,148000,1,250.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel,4-Speed A/T,0,19000
3268,BMW,650 i,2006,122141,0,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,10500
3269,Subaru,Impreza WRX,2012,106000,0,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,0,15000
3270,Ford,Edge Titanium,2017,113294,0,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,16500
3271,Kia,Telluride SX,2021,24423,0,3.8L V6 24V GDI DOHC,8-Speed Automatic,0,44315
3273,RAM,1500 Rebel,2018,54800,0,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,1,37050
3274,Ford,Explorer XLT,2017,161000,0,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,17500
3275,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,2019,28755,0,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,61350
3276,Audi,Q5 2.0T Premium Plus,2016,52105,3,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,1,20499
3277,Nissan,Armada Platinum,2018,119950,0,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,20999
3278,Mercedes-Benz,SL-Class SL500 Roadster,2003,80081,0,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,12500
3280,Jeep,Gladiator Overland,2021,4100,0,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,55000
3282,Dodge,Charger SE,2017,63250,0,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,18650
3283,Lincoln,MKX Black Label,2017,69431,0,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,26500
3284,Toyota,Tundra SR5,2015,108044,0,5.7L V8 32V MPFI DOHC,6-Speed Automatic,0,31380
3285,BMW,335 i,2008,98000,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,13998
3286,BMW,X1 xDrive28i,2019,52253,0,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,34500
3288,Mercedes-Benz,Sprinter High Roof,2015,1500,1,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,0,39500
3289,Dodge,Challenger GT,2021,40000,0,303.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,32500
3290,Audi,S4 3.0 Prestige,2012,38718,0,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,31000
3291,Toyota,Tacoma TRD Sport,2018,84184,0,3.5 Liter,Automatic,0,35998
3292,Mercedes-Benz,Sprinter 2500 Standard Roof,2021,13344,1,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,0,56500
3293,INFINITI,Q50 3.0t Red Sport 400,2018,51850,0,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,28900
3294,Porsche,911 Carrera 4S,2002,119500,0,320.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,36995
3295,Ford,Expedition Max Limited,2021,30918,0,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,51999
3296,Chevrolet,Corvette Stingray w/3LT,2023,1100,0,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,92000
3297,Mercedes-Benz,C-Class C 300,2019,40000,0,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,27900
3298,Jeep,Grand Cherokee Limited,2005,100500,0,325.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,0,9998
3299,Dodge,Charger SRT Hellcat,2020,54320,0,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,67000
3300,Mercedes-Benz,C-Class C 300 4MATIC,2018,49000,0,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,23450
3303,Cadillac,DTS Luxury,2007,130000,0,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,1,3499
3304,Maserati,Grecale Modena,2023,3721,0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,0,69645
3305,Mercedes-Benz,S-Class S 550,2016,78101,0,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,34500
3306,Chevrolet,Malibu 1LT,2017,54000,0,160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,1,16000
3307,Nissan,Quest SL,2011,185000,0,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,1,7500
3308,Mercedes-Benz,SLK-Class SLK 250,2015,49000,0,201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,23500
3309,GMC,Sierra 2500 Denali,2024,2043,0,401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,81500
3310,Lexus,RX 350 Base,2016,71750,0,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,28000
3311,Chevrolet,Corvette Stingray w/3LT,2020,5194,0,6.2L V8 16V GDI OHV,8-Speed Automatic with Auto-Shift,0,87500
3312,BMW,330 i,2019,42200,0,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,27500
3313,Mercedes-Benz,GLC 300 Base,2020,42717,0,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,33500
3315,Chevrolet,Corvette Stingray w/2LT,2022,11089,0,6.2L V8 16V GDI OHV,8-Speed Manual,0,80900
3316,Jaguar,XF 25t Prestige,2018,37777,0,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32500
3317,Ford,F-150 XLT,2021,35921,0,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,0,42995
3318,Ford,Bronco Outer Banks,2023,1800,0,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,54900
3319,Scion,FR-S Monogram,2014,163019,0,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,8900
3320,Mercedes-Benz,C-Class C 300 4MATIC,2020,14220,0,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,35500
3321,Chevrolet,Tahoe Premier,2019,48879,0,5.3L V8 16V GDI OHV,Automatic,0,49573
3322,BMW,M3 Base,2002,117200,0,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,15000
3323,Ford,F-150 Lariat,2016,25000,3,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,65000
3325,INFINITI,G37 Journey,2013,33300,0,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,0,21990
3326,Ford,Expedition XLT,2007,123921,0,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,6900
3327,BMW,X3 sDrive30i,2021,12800,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,39990
3328,Aston,Martin Vantage GT Base,2015,21100,0,430.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,80000
3329,Chevrolet,Tahoe LT,2009,104733,3,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,15000
3330,Ford,Transit-250 Base,2020,53000,0,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,1,38500
3331,Lexus,ES 250 Base,2021,17570,0,2.5 Liter,Automatic,0,39998
3332,RAM,1500 Rebel,2020,63875,2,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,1,41900
